"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","External debt stocks (% of GNI)","DT.DOD.DECT.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","External debt stocks (% of GNI)","DT.DOD.DECT.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","External debt stocks (% of GNI)","DT.DOD.DECT.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.7928583731895","20.4806758495246","21.2121323521857","20.0367248536922","15.3334973971382","13.9770517017747","12.9281604362278","12.8048363659593","12.3049882693651","13.4908301094464","14.1470450360055","14.5133427404056","14.6424246657516","13.9496520351375","15.1208585304773","24.7857399527695","23.3368489761511","19.8909368152618","","",
"Africa Western and Central","AFW","External debt stocks (% of GNI)","DT.DOD.DECT.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","External debt stocks (% of GNI)","DT.DOD.DECT.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.6885540625213","85.6841147539101","84.8786055943759","287.568152746417","326.524497253351","581.118594659053","241.057580028413","180.899433628874","147.806121516533","194.747864891032","223.247861326023","131.075486566154","119.007608419805","66.8015479069923","56.6608944666511","46.5316387283025","37.1535135368479","21.4383204383608","20.7080710064909","20.8444196333637","31.9407468104196","35.3911613090284","33.9687833337354","30.7446796123415","35.3141708088895","35.9601982257134","56.7801551813803","114.845094739154","84.9404832711627","84.2843625797666","96.5947267900598","148.159899274824","108.138096106725","62.7115153094556","74.5628642843282","79.5726391511001","",
"Albania","ALB","External debt stocks (% of GNI)","DT.DOD.DECT.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.4538639208255","102.519434311342","64.4704411333546","46.60851251549","15.5615646945277","14.8810815335608","22.0851756963377","23.3403259411991","23.0141128417427","30.4144117827728","27.581686451568","25.5397783430657","26.0539897724531","21.178413528974","25.2646599245955","26.7503739581707","26.0011017019066","31.9600228907674","37.9325638922566","45.4386914236501","49.9704814370826","60.7645738045994","66.4368565074873","63.4459677291758","72.7839311764582","69.9108688734659","73.748302704928","62.8192787162639","60.2886652039553","69.8900514825763","62.1678808397569","55.7646269319117","48.6747823852328","39.7190681766686","",
"Andorra","AND","External debt stocks (% of GNI)","DT.DOD.DECT.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","External debt stocks (% of GNI)","DT.DOD.DECT.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","External debt stocks (% of GNI)","DT.DOD.DECT.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","External debt stocks (% of GNI)","DT.DOD.DECT.GN.ZS","","","","","","","","","","","19.3878463641955","18.8909751518718","20.1576140700061","13.9876910704174","10.7299634680028","14.8670877222983","18.5632714477505","20.7240052370103","15.2650083179408","30.8582520740321","35.8155600377188","46.6013548308641","55.2560428399715","47.0146805803112","44.2541572106747","61.3235788327673","52.1206260544949","56.5978653845906","48.624407682908","93.3424186174631","46.2282372006326","35.7191930020236","30.556438109999","27.6719318453773","29.5945044681267","38.9848417579252","41.6825294657416","44.742849204167","48.5365413234134","55.0294127610094","54.2417099417586","58.4932935172091","159.890183546743","133.474955613907","114.783966038451","74.2469415660219","52.8779757006235","43.1501917496034","36.7967786223547","41.4241623275672","30.9491301873404","27.7441780087921","26.2396878854826","27.8097452222931","29.8319023900009","30.3597130322943","33.3125611167404","36.0210140421607","54.8960712180333","65.2499452681964","68.0983401439473","51.6176877458835","40.0821942544545","39.9528949452964","39.0583452380588","",
"Armenia","ARM","External debt stocks (% of GNI)","DT.DOD.DECT.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.1600495862994","16.3467495701756","24.5820006708766","31.7076435721137","36.7643608733105","41.1894948588224","53.8084288501274","51.6822939077758","64.6369814678621","69.9371558433651","68.8336104106055","56.5888045570056","38.5750336386734","31.9881885928206","31.7603379636547","29.2430682607578","54.7919777524588","64.8981549562732","70.5642908723285","69.1932584997682","73.5435614911053","70.522973244206","80.4154639528465","91.3302217488821","85.7142699282465","84.732912100644","86.0748926105104","105.006642730875","104.151886769747","83.8849419476276","67.5888031767855","65.9870950657396","",
